Time [s],Value,Parity Error,Framing Error
0.001892,0x04,,
0.001988,0xA1,,
0.002083,0x5A,,
0.002179,0xFF,,
0.002896,0x06,,
0.002991,0xA1,,
0.003086,0x00,,
0.00318,0x00,,
0.003275,0x58,,
0.00337,0xFF,,
0.009593,0x04,,
0.009689,0xA2,,
0.009784,0x59,,
0.00988,0xFF,,
0.017294,0x04,,
0.01739,0xA2,,
0.017485,0x59,,
0.017581,0xFF,,
0.018303,0x06,,
0.018399,0xA2,,
0.018494,0xFF,,
0.01859,0xFF,,
0.018685,0x59,,
0.018781,0xFD,,
0.024995,0x04,,
0.02509,0xA1,,
0.025186,0x5A,,
0.025282,0xFF,,
0.026001,0x06,,
0.026096,0xA1,,
0.026191,0x00,,
0.026286,0x00,,
0.026381,0x58,,
0.026475,0xFF,,
0.032696,0x04,,
0.032791,0xA2,,
0.032887,0x59,,
0.032982,0xFF,,
0.033702,0x06,,
0.033798,0xA2,,
0.033893,0xFF,,
0.033989,0xFF,,
0.034084,0x59,,
0.03418,0xFD,,
0.040397,0x04,,
0.040492,0xA1,,
0.040588,0x5A,,
0.040683,0xFF,,
0.041399,0x06,,
0.041493,0xA1,,
0.041588,0x00,,
0.041683,0x00,,
0.041778,0x58,,
0.041873,0xFF,,
0.048097,0x04,,
0.048193,0xA2,,
0.048289,0x59,,
0.048384,0xFF,,
0.049107,0x06,,
0.049203,0xA2,,
0.049298,0xFF,,
0.049394,0xFF,,
0.049489,0x59,,
0.049585,0xFD,,
0.055798,0x04,,
0.055894,0xA1,,
0.055989,0x5A,,
0.056085,0xFF,,
0.056796,0x06,,
0.056891,0xA1,,
0.056986,0x00,,
0.057081,0x00,,
0.057176,0x58,,
0.05727,0xFF,,
0.063499,0x04,,
0.063595,0xA2,,
0.06369,0x59,,
0.063786,0xFF,,
0.064507,0x06,,
0.064603,0xA2,,
0.064698,0xFF,,
0.064794,0xFF,,
0.064889,0x59,,
0.064985,0xFD,,
0.0712,0x04,,
0.071296,0xA1,,
0.071391,0x5A,,
0.071487,0xFF,,
0.072202,0x06,,
0.072297,0xA1,,
0.072392,0x00,,
0.072487,0x00,,
0.072582,0x58,,
0.072677,0xFF,,
0.078901,0x04,,
0.078996,0xA2,,
0.079092,0x59,,
0.079188,0xFF,,
0.079912,0x06,,
0.080008,0xA2,,
0.080103,0xFF,,
0.080199,0xFF,,
0.080294,0x59,,
0.08039,0xFD,,
0.086602,0x04,,
0.086697,0xA1,,
0.086793,0x5A,,
0.086888,0xFF,,
0.0876,0x06,,
0.087695,0xA1,,
0.08779,0x00,,
0.087885,0x00,,
0.087979,0x58,,
0.088074,0xFF,,
0.094303,0x04,,
0.094398,0xA2,,
0.094494,0x59,,
0.094589,0xFF,,
0.09531,0x06,,
0.095405,0xA2,,
0.095501,0xFF,,
0.095596,0xFF,,
0.095692,0x59,,
0.095787,0xFD,,
0.102003,0x04,,
0.102099,0xA1,,
0.102195,0x5A,,
0.10229,0xFF,,
0.103005,0x06,,
0.1031,0xA1,,
0.103195,0x00,,
0.10329,0x00,,
0.103385,0x58,,
0.103479,0xFF,,
0.109704,0x04,,
0.1098,0xA2,,
0.109895,0x59,,
0.109991,0xFF,,
0.110709,0x06,,
0.110804,0xA2,,
0.1109,0xFF,,
0.110995,0xFF,,
0.111091,0x59,,
0.111186,0xFD,,
0.117404,0x04,,
0.1175,0xA1,,
0.117595,0x5A,,
0.117691,0xFF,,
0.118403,0x06,,
0.118498,0xA1,,
0.118593,0x00,,
0.118687,0x00,,
0.118782,0x58,,
0.118877,0xFF,,
0.125105,0x04,,
0.125201,0xA2,,
0.125296,0x59,,
0.125392,0xFF,,
0.126114,0x06,,
0.126209,0xA2,,
0.126305,0xFF,,
0.1264,0xFF,,
0.126496,0x59,,
0.126592,0xFD,,
0.132806,0x04,,
0.132901,0xA1,,
0.132997,0x5A,,
0.133093,0xFF,,
0.133808,0x06,,
0.133903,0xA1,,
0.133998,0x00,,
0.134093,0x00,,
0.134187,0x58,,
0.134282,0xFF,,
0.140507,0x04,,
0.140602,0xA2,,
0.140698,0x59,,
0.140793,0xFF,,
0.141514,0x06,,
0.141609,0xA2,,
0.141705,0xFF,,
0.141801,0xFF,,
0.141896,0x59,,
0.141992,0xFD,,
0.148208,0x04,,
0.148303,0xA1,,
0.148399,0x5A,,
0.148494,0xFF,,
0.149208,0x06,,
0.149303,0xA1,,
0.149398,0x00,,
0.149493,0x00,,
0.149588,0x58,,
0.149682,0xFF,,
0.155908,0x04,,
0.156004,0xA2,,
0.1561,0x59,,
0.156195,0xFF,,
0.156913,0x06,,
0.157009,0xA2,,
0.157104,0xFF,,
0.1572,0xFF,,
0.157295,0x59,,
