Time [s],Value,Parity Error,Framing Error
0.005162,0x04,,
0.005258,0xA2,,
0.005353,0x59,,
0.005449,0xFF,,
0.006168,0x06,,
0.006264,0xA2,,
0.006359,0xFE,,
0.006455,0xFF,,
0.00655,0x5A,,
0.006646,0xFD,,
0.012863,0x04,,
0.012958,0xA1,,
0.013054,0x5A,,
0.01315,0xFF,,
0.020564,0x04,,
0.020659,0xA2,,
0.020755,0x59,,
0.02085,0xFF,,
0.021573,0x06,,
0.021669,0xA2,,
0.021764,0xFE,,
0.02186,0xFF,,
0.021955,0x5A,,
0.022051,0xFD,,
0.028265,0x04,,
0.02836,0xA1,,
0.028456,0x5A,,
0.028551,0xFF,,
0.035965,0x04,,
0.036061,0xA2,,
0.036157,0x59,,
0.036252,0xFF,,
0.036974,0x06,,
0.037069,0xA2,,
0.037165,0xFE,,
0.03726,0xFF,,
0.037356,0x5A,,
0.037451,0xFD,,
0.043666,0x04,,
0.043762,0xA1,,
0.043857,0x5A,,
0.043953,0xFF,,
0.051367,0x04,,
0.051463,0xA2,,
0.051558,0x59,,
0.051654,0xFF,,
0.052373,0x06,,
0.052468,0xA2,,
0.052564,0xFE,,
0.052659,0xFF,,
0.052755,0x5A,,
0.05285,0xFD,,
0.059068,0x04,,
0.059164,0xA1,,
0.059259,0x5A,,
0.059355,0xFF,,
0.066769,0x04,,
0.066864,0xA2,,
0.06696,0x59,,
0.067056,0xFF,,
0.067778,0x06,,
0.067873,0xA2,,
0.067969,0xFF,,
0.068064,0xFF,,
0.06816,0x59,,
0.068255,0xFD,,
0.07447,0x04,,
0.074565,0xA1,,
0.074661,0x5A,,
0.074756,0xFF,,
0.082171,0x04,,
0.082266,0xA2,,
0.082362,0x59,,
0.082457,0xFF,,
0.083175,0x06,,
0.083271,0xA2,,
0.083366,0xFF,,
0.083462,0xFF,,
0.083557,0x59,,
0.083653,0xFD,,
0.089871,0x04,,
0.089967,0xA1,,
0.090063,0x5A,,
0.090158,0xFF,,
0.097572,0x04,,
0.097668,0xA2,,
0.097763,0x59,,
0.097859,0xFF,,
0.098578,0x06,,
0.098674,0xA2,,
0.098769,0xFF,,
0.098865,0xFF,,
0.09896,0x59,,
0.099056,0xFD,,
0.105273,0x04,,
0.105369,0xA1,,
0.105464,0x5A,,
0.10556,0xFF,,
0.112974,0x04,,
0.113069,0xA2,,
0.113165,0x59,,
0.113261,0xFF,,
0.113983,0x06,,
0.114079,0xA2,,
0.114174,0xFF,,
0.11427,0xFF,,
0.114365,0x59,,
0.114461,0xFD,,
0.120675,0x04,,
0.12077,0xA1,,
0.120866,0x5A,,
0.120961,0xFF,,
0.128376,0x04,,
0.128471,0xA2,,
0.128567,0x59,,
0.128662,0xFF,,
0.129382,0x06,,
0.129478,0xA2,,
0.129573,0xFF,,
0.129669,0xFF,,
0.129764,0x59,,
0.12986,0xFD,,
0.136076,0x04,,
0.136172,0xA1,,
0.136268,0x5A,,
0.136363,0xFF,,
0.143776,0x04,,
0.143872,0xA2,,
0.143967,0x59,,
0.144063,0xFF,,
0.144787,0x06,,
0.144883,0xA2,,
0.144978,0xFF,,
0.145074,0xFF,,
0.145169,0x59,,
0.145265,0xFD,,
0.151476,0x04,,
0.151572,0xA1,,
0.151667,0x5A,,
0.151763,0xFF,,
0.159177,0x04,,
0.159273,0xA2,,
0.159368,0x59,,
0.159464,0xFF,,
0.160187,0x06,,
0.160283,0xA2,,
0.160378,0xFF,,
0.160474,0xFF,,
0.160569,0x59,,
0.160665,0xFD,,
0.166878,0x04,,
0.166973,0xA1,,
0.167069,0x5A,,
0.167165,0xFF,,
0.174579,0x04,,
0.174674,0xA2,,
0.17477,0x59,,
0.174865,0xFF,,
0.175587,0x06,,
0.175682,0xA2,,
0.175778,0xFF,,
0.175873,0xFF,,
0.175969,0x59,,
0.176064,0xFD,,
0.18228,0x04,,
0.182375,0xA1,,
0.182471,0x5A,,
0.182566,0xFF,,
0.18998,0x04,,
0.190076,0xA2,,
0.190172,0x59,,
0.190267,0xFF,,
0.190986,0x06,,
0.191081,0xA2,,
0.191177,0xFF,,
0.191272,0xFF,,
0.191368,0x59,,
0.191463,0xFD,,
0.197681,0x04,,
0.197777,0xA1,,
0.197872,0x5A,,
0.197968,0xFF,,
0.205382,0x04,,
0.205478,0xA2,,
0.205573,0x59,,
0.205669,0xFF,,
0.206391,0x06,,
0.206486,0xA2,,
0.206582,0xFF,,
0.206677,0xFF,,
0.206773,0x59,,
0.206868,0xFD,,
0.213083,0x04,,
0.213179,0xA1,,
0.213274,0x5A,,
0.21337,0xFF,,
0.220784,0x04,,
0.220879,0xA2,,
0.220975,0x59,,
0.221071,0xFF,,
0.221795,0x06,,
0.221891,0xA2,,
0.221986,0xFF,,
0.222082,0xFF,,
0.222177,0x59,,
0.222273,0xFD,,
0.228485,0x04,,
0.22858,0xA1,,
0.228676,0x5A,,
0.228771,0xFF,,
0.236186,0x04,,
0.236281,0xA2,,
0.236377,0x59,,
0.236472,0xFF,,
0.237194,0x06,,
0.23729,0xA2,,
0.237385,0xFF,,
0.237481,0xFF,,
0.237576,0x59,,
0.237672,0xFD,,
0.243886,0x04,,
0.243982,0xA1,,
0.244078,0x5A,,
0.244173,0xFF,,
0.251587,0x04,,
0.251683,0xA2,,
0.251778,0x59,,
0.251874,0xFF,,
0.252593,0x06,,
0.252689,0xA2,,
0.252784,0xFF,,
0.25288,0xFF,,
0.252975,0x59,,
0.253071,0xFD,,
0.259288,0x04,,
0.259384,0xA1,,
0.259479,0x5A,,
0.259575,0xFF,,
0.266989,0x04,,
0.267085,0xA2,,
0.26718,0x59,,
0.267276,0xFF,,
0.267998,0x06,,
0.268094,0xA2,,
0.268189,0xFF,,
0.268285,0xFF,,
0.26838,0x59,,
0.268476,0xFD,,
0.27469,0x04,,
0.274785,0xA1,,
0.274881,0x5A,,
0.274977,0xFF,,
0.282391,0x04,,
0.282486,0xA2,,
0.282582,0x59,,
0.282677,0xFF,,
0.283397,0x06,,
0.283492,0xA2,,
0.283588,0xFF,,
0.283683,0xFF,,
0.283779,0x59,,
0.283874,0xFD,,
0.290092,0x04,,
0.290187,0xA1,,
0.290283,0x5A,,
0.290378,0xFF,,
0.297792,0x04,,
0.297888,0xA2,,
0.297983,0x59,,
0.298079,0xFF,,
0.298802,0x06,,
0.298897,0xA2,,
0.298993,0xFF,,
0.299088,0xFF,,
0.299184,0x59,,
0.299279,0xFD,,
0.305493,0x04,,
0.305589,0x83,,
0.305684,0x78,,
0.30578,0xFF,,
0.313194,0x04,,
0.31329,0xA1,,
0.313385,0x5A,,
0.313481,0xFF,,
0.320895,0x04,,
0.32099,0xA2,,
0.321086,0x59,,
0.321182,0xFF,,
0.321906,0x06,,
0.322002,0xA2,,
0.322097,0xFF,,
0.322193,0xFF,,
0.322288,0x59,,
0.322384,0xFD,,
0.328596,0x04,,
0.328691,0xA1,,
0.328787,0x5A,,
0.328882,0xFF,,
0.336297,0x04,,
0.336392,0xA2,,
0.336488,0x59,,
0.336583,0xFF,,
0.337304,0x06,,
0.337399,0xA2,,
0.337495,0xFF,,
0.33759,0xFF,,
0.337686,0x59,,
0.337781,0xFD,,
0.343996,0x04,,
0.344092,0xA1,,
0.344188,0x5A,,
0.344283,0xFF,,
0.351697,0x04,,
0.351793,0xA2,,
0.351888,0x59,,
0.351984,0xFF,,
0.352711,0x06,,
0.352807,0xA2,,
0.352902,0xFF,,
0.352998,0xFF,,
0.353093,0x59,,
0.353189,0xFD,,
0.359398,0x04,,
0.359494,0xA1,,
0.359589,0x5A,,
0.359685,0xFF,,
0.367099,0x04,,
0.367195,0xA2,,
0.36729,0x59,,
0.367386,0xFF,,
0.368109,0x06,,
0.368204,0xA2,,
0.3683,0xFF,,
0.368395,0xFF,,
0.368491,0x59,,
0.368586,0xFD,,
0.3748,0x04,,
0.374895,0xA1,,
0.374991,0x5A,,
0.375087,0xFF,,
0.382501,0x04,,
0.382596,0xA2,,
0.382692,0x59,,
0.382787,0xFF,,
0.383508,0x06,,
0.383604,0xA2,,
0.383699,0xFF,,
0.383795,0xFF,,
0.38389,0x59,,
0.383986,0xFD,,
0.390202,0x04,,
0.390297,0xA1,,
0.390393,0x5A,,
0.390488,0xFF,,
0.397902,0x04,,
0.397998,0xA2,,
0.398094,0x59,,
0.398189,0xFF,,
0.398907,0x06,,
0.399003,0xA2,,
0.399098,0xFF,,
0.399194,0xFF,,
0.399289,0x59,,
0.399385,0xFD,,
0.405603,0x04,,
0.405699,0xA1,,
0.405794,0x5A,,
0.40589,0xFF,,
0.413304,0x04,,
0.4134,0xA2,,
0.413495,0x59,,
0.413591,0xFF,,
0.414315,0x06,,
0.41441,0xA2,,
0.414506,0xFF,,
0.414601,0xFF,,
0.414697,0x59,,
0.414792,0xFD,,
0.421005,0x04,,
0.421101,0xA1,,
0.421196,0x5A,,
0.421292,0xFF,,
0.428706,0x04,,
0.428801,0xA2,,
0.428897,0x59,,
0.428993,0xFF,,
0.429712,0x06,,
0.429808,0xA2,,
0.429903,0xFF,,
0.429999,0xFF,,
0.430094,0x59,,
0.43019,0xFD,,
0.436407,0x04,,
0.436502,0xA1,,
0.436598,0x5A,,
0.436693,0xFF,,
0.444108,0x04,,
0.444203,0xA2,,
0.444299,0x59,,
0.444394,0xFF,,
0.445117,0x06,,
0.445213,0xA2,,
0.445308,0xFF,,
0.445404,0xFF,,
0.445499,0x59,,
0.445595,0xFD,,
0.451808,0x04,,
0.451904,0xA1,,
0.452,0x5A,,
0.452095,0xFF,,
0.459509,0x04,,
0.459605,0xA2,,
0.4597,0x59,,
0.459796,0xFF,,
0.460516,0x06,,
0.460612,0xA2,,
0.460707,0xFF,,
0.460803,0xFF,,
0.460898,0x59,,
0.460994,0xFD,,
0.46721,0x04,,
0.467306,0xA1,,
0.467401,0x5A,,
0.467497,0xFF,,
0.474911,0x04,,
0.475007,0xA2,,
0.475102,0x59,,
0.475198,0xFF,,
0.475922,0x06,,
0.476018,0xA2,,
0.476113,0xFF,,
0.476209,0xFF,,
0.476304,0x59,,
0.4764,0xFD,,
0.482612,0x04,,
0.482707,0xA1,,
0.482803,0x5A,,
0.482899,0xFF,,
0.490313,0x04,,
0.490408,0xA2,,
0.490504,0x59,,
0.490599,0xFF,,
0.49132,0x06,,
0.491415,0xA2,,
0.491511,0xFF,,
0.491606,0xFF,,
0.491702,0x59,,
0.491797,0xFD,,
0.498013,0x04,,
0.498109,0xA1,,
0.498205,0x5A,,
0.4983,0xFF,,
0.505714,0x04,,
0.50581,0xA2,,
0.505905,0x59,,
0.506001,0xFF,,
0.506719,0x06,,
