Time [s],Value,Parity Error,Framing Error
5.198709,0x00,,Error
5.277429,0xFF,,
5.277568,0xFF,,
5.278721,0xFF,,
5.278838,0xFF,,
5.278963,0xDF,,
5.279051,0xDF,,
5.279134,0xFF,,
5.279218,0x22,,
5.279301,0x3E,,Error
5.279385,0xF2,,Error
5.279474,0x3C,,
5.279558,0x04,,
5.279641,0x02,,Error
5.279735,0x00,,Error
5.279859,0x00,,Error
5.279944,0x00,,Error
5.280035,0x08,,Error
5.280279,0x00,,Error
5.280374,0x00,,Error
5.280527,0x00,,Error
5.280639,0x00,,Error
5.321748,0xFE,,
5.935414,0x04,,
5.935509,0x82,,
5.935605,0x79,,
5.9357,0xFF,,
5.936411,0x04,,
5.936506,0x82,,
5.936602,0x79,,
5.936697,0xFF,,
5.943115,0x04,,
5.94321,0x92,,
5.943306,0x69,,
5.943401,0xFF,,
5.944122,0x06,,
5.944218,0x92,,
5.944313,0x03,,
5.944409,0x02,,
5.944504,0x62,,
5.9446,0xFF,,
5.950815,0x04,,
5.950911,0x83,,
5.951007,0x78,,
5.951102,0xFF,,
5.958516,0x04,,
5.958612,0xA1,,
5.958707,0x5A,,
5.958803,0xFF,,
5.966216,0x04,,
5.966312,0xA2,,
5.966407,0x59,,
5.966503,0xFF,,
5.967226,0x06,,
5.967322,0xA2,,
5.967417,0xFE,,
5.967513,0xFF,,
5.967608,0x5A,,
5.967704,0xFD,,
5.973916,0x04,,
5.974012,0xA1,,
5.974107,0x5A,,
5.974203,0xFF,,
5.981618,0x04,,
5.981713,0xA2,,
5.981809,0x59,,
5.981905,0xFF,,
5.982624,0x06,,
5.982719,0xA2,,
5.982815,0xFE,,
5.982911,0xFF,,
5.983006,0x5A,,
5.983102,0xFD,,
5.989319,0x04,,
5.989414,0xA1,,
5.98951,0x5A,,
5.989605,0xFF,,
5.99702,0x04,,
5.997115,0xA2,,
5.997211,0x59,,
5.997306,0xFF,,
5.998027,0x06,,
5.998123,0xA2,,
5.998218,0xFE,,
5.998314,0xFF,,
5.998409,0x5A,,
5.998505,0xFD,,
6.004719,0x04,,
6.004815,0xA1,,
6.004911,0x5A,,
6.005006,0xFF,,
6.01242,0x04,,
6.012516,0xA2,,
6.012611,0x59,,
6.012707,0xFF,,
6.013426,0x06,,
6.013522,0xA2,,
6.013617,0xFE,,
6.013713,0xFF,,
6.013808,0x5A,,
6.013904,0xFD,,
6.020121,0x04,,
6.020217,0xA1,,
6.020312,0x5A,,
6.020408,0xFF,,
6.027822,0x04,,
6.027918,0xA2,,
6.028013,0x59,,
6.028109,0xFF,,
6.028831,0x06,,
6.028927,0xA2,,
6.029022,0xFE,,
6.029118,0xFF,,
6.029213,0x5A,,
6.029309,0xFD,,
6.035523,0x04,,
6.035618,0xA1,,
6.035714,0x5A,,
6.03581,0xFF,,
6.043224,0x04,,
6.043319,0xA2,,
6.043415,0x59,,
6.04351,0xFF,,
6.050924,0x04,,
6.05102,0xA2,,
6.051116,0x59,,
6.051211,0xFF,,
6.051935,0x06,,
6.05203,0xA2,,
6.052126,0xFE,,
6.052221,0xFF,,
6.052317,0x5A,,
6.052412,0xFD,,
6.058625,0x04,,
6.058721,0xA1,,
6.058817,0x5A,,
6.058912,0xFF,,
6.066326,0x04,,
6.066422,0xA2,,
6.066517,0x59,,
6.066613,0xFF,,
6.067336,0x06,,
6.067432,0xA2,,
6.067527,0xFE,,
6.067623,0xFF,,
6.067718,0x5A,,
6.067814,0xFD,,
6.074027,0x04,,
6.074123,0xA1,,
6.074218,0x5A,,
6.074314,0xFF,,
6.081728,0x04,,
6.081823,0xA2,,
6.081919,0x59,,
6.082015,0xFF,,
6.082734,0x06,,
6.082829,0xA2,,
6.082925,0xFE,,
6.08302,0xFF,,
6.083116,0x5A,,
6.083211,0xFD,,
6.089429,0x04,,
6.089524,0xA1,,
6.08962,0x5A,,
6.089716,0xFF,,
6.09713,0x04,,
6.097225,0xA2,,
6.097321,0x59,,
6.097416,0xFF,,
6.098139,0x06,,
6.098234,0xA2,,
6.09833,0xFE,,
6.098425,0xFF,,
6.098521,0x5A,,
6.098616,0xFD,,
6.10483,0x04,,
6.104926,0xA1,,
6.105022,0x5A,,
6.105117,0xFF,,
6.112531,0x04,,
6.112627,0xA2,,
6.112722,0x59,,
6.112818,0xFF,,
6.113538,0x06,,
6.113633,0xA2,,
6.113729,0xFE,,
6.113824,0xFF,,
6.11392,0x5A,,
6.114015,0xFD,,
6.120232,0x04,,
6.120328,0xA1,,
6.120423,0x5A,,
6.120519,0xFF,,
6.127932,0x04,,
6.128028,0xA2,,
6.128123,0x59,,
6.128219,0xFF,,
6.128939,0x06,,
6.129035,0xA2,,
6.12913,0xFE,,
6.129226,0xFF,,
6.129321,0x5A,,
6.129417,0xFD,,
6.135633,0x04,,
6.135728,0xA1,,
6.135824,0x5A,,
6.13592,0xFF,,
6.143334,0x04,,
6.143429,0xA2,,
6.143525,0x59,,
6.14362,0xFF,,
6.144338,0x06,,
6.144434,0xA2,,
6.144529,0xFE,,
6.144625,0xFF,,
6.14472,0x5A,,
6.144816,0xFD,,
6.151035,0x04,,
6.15113,0xA1,,
6.151226,0x5A,,
6.151321,0xFF,,
6.158735,0x04,,
6.158831,0xA2,,
6.158927,0x59,,
6.159022,0xFF,,
6.159743,0x06,,
6.159839,0xA2,,
6.159934,0xFE,,
6.16003,0xFF,,
6.160125,0x5A,,
6.160221,0xFD,,
6.166436,0x04,,
6.166532,0xA1,,
6.166627,0x5A,,
6.166723,0xFF,,
6.174137,0x04,,
6.174233,0xA2,,
6.174328,0x59,,
6.174424,0xFF,,
6.175149,0x06,,
6.175244,0xA2,,
6.17534,0xFE,,
6.175435,0xFF,,
6.175531,0x5A,,
6.175626,0xFD,,
6.181838,0x04,,
6.181934,0xA1,,
6.182029,0x5A,,
6.182125,0xFF,,
6.189539,0x04,,
6.189634,0xA2,,
6.18973,0x59,,
6.189826,0xFF,,
6.190547,0x06,,
6.190643,0xA2,,
6.190738,0xFE,,
6.190834,0xFF,,
6.190929,0x5A,,
6.191025,0xFD,,
6.19724,0x04,,
6.197335,0xA1,,
6.197431,0x5A,,
6.197526,0xFF,,
6.204941,0x04,,
6.205036,0xA2,,
6.205132,0x59,,
6.205227,0xFF,,
6.205946,0x06,,
6.206042,0xA2,,
6.206137,0xFE,,
6.206233,0xFF,,
6.206328,0x5A,,
6.206424,0xFD,,
6.212641,0x04,,
6.212737,0xA1,,
6.212833,0x5A,,
6.212928,0xFF,,
6.220342,0x04,,
6.220438,0xA2,,
6.220533,0x59,,
6.220629,0xFF,,
6.221351,0x06,,
6.221447,0xA2,,
6.221542,0xFE,,
6.221638,0xFF,,
6.221733,0x5A,,
6.221829,0xFD,,
6.228043,0x04,,
6.228139,0xA1,,
6.228234,0x5A,,
6.22833,0xFF,,
6.235744,0x04,,
6.23584,0xA2,,
6.235935,0x59,,
6.236031,0xFF,,
6.23675,0x06,,
6.236846,0xA2,,
6.236941,0xFE,,
6.237037,0xFF,,
6.237132,0x5A,,
6.237228,0xFD,,
6.243445,0x04,,
6.24354,0xA1,,
6.243636,0x5A,,
6.243732,0xFF,,
6.251146,0x04,,
6.251241,0xA2,,
6.251337,0x59,,
6.251432,0xFF,,
6.252152,0x06,,
6.252247,0xA2,,
6.252343,0xFE,,
6.252438,0xFF,,
6.252534,0x5A,,
6.252629,0xFD,,
6.258847,0x04,,
6.258942,0xA1,,
6.259038,0x5A,,
6.259133,0xFF,,
6.266547,0x04,,
6.266643,0xA2,,
6.266739,0x59,,
6.266834,0xFF,,
6.267557,0x06,,
6.267652,0xA2,,
6.267748,0xFE,,
6.267843,0xFF,,
