Time [s],Value,Parity Error,Framing Error
1.028028,0x04,,
1.028124,0xF0,,
1.028219,0x0B,,
1.028315,0xFF,,
1.035729,0x04,,
1.035825,0xF0,,
1.03592,0x0B,,
1.036016,0xFF,,
1.046688,0x04,,
1.046784,0xF0,,
1.046879,0x0B,,
1.046975,0xFF,,
1.054389,0x04,,
1.054485,0xF0,,
1.05458,0x0B,,
1.054676,0xFF,,
1.06209,0x04,,
1.062186,0xF0,,
1.062281,0x0B,,
1.062377,0xFF,,
1.069791,0x04,,
1.069886,0xF0,,
1.069982,0x0B,,
1.070078,0xFF,,
1.077492,0x04,,
1.077587,0xF0,,
1.077683,0x0B,,
1.077778,0xFF,,
1.085193,0x04,,
1.085288,0xF0,,
1.085384,0x0B,,
1.085479,0xFF,,
1.092893,0x04,,
1.092989,0xF0,,
1.093085,0x0B,,
1.09318,0xFF,,
1.100594,0x04,,
1.10069,0xF0,,
1.100785,0x0B,,
1.100881,0xFF,,
1.608847,0x04,,
1.608942,0x81,,
1.609038,0x7A,,
1.609133,0xFF,,
1.609844,0x04,,
1.60994,0x81,,
1.610035,0x7A,,
1.610131,0xFF,,
1.616547,0x04,,
1.616643,0x91,,
1.616739,0x6A,,
1.616834,0xFF,,
1.617556,0x06,,
1.617651,0x91,,
1.617747,0x03,,
1.617842,0x02,,
1.617938,0x63,,
1.618033,0xFF,,
1.624248,0x04,,
1.624344,0x82,,
1.624439,0x79,,
1.624535,0xFF,,
1.625241,0x04,,
1.625336,0x82,,
1.625431,0x79,,
1.625526,0xFF,,
1.631949,0x04,,
1.632045,0x92,,
1.63214,0x69,,
1.632236,0xFF,,
1.63295,0x06,,
1.633045,0x92,,
1.63314,0x02,,
1.633235,0x02,,
1.63333,0x63,,
1.633425,0xFF,,
1.639649,0x04,,
1.639745,0x83,,
1.63984,0x78,,
1.639936,0xFF,,
1.64735,0x04,,
1.647445,0xA1,,
1.647541,0x5A,,
1.647637,0xFF,,
1.648356,0x06,,
1.648452,0xA1,,
1.648547,0xFF,,
1.648643,0xFF,,
1.648738,0x5A,,
1.648834,0xFD,,
1.655051,0x04,,
1.655146,0xA2,,
1.655242,0x59,,
1.655337,0xFF,,
1.65605,0x06,,
1.656145,0xA2,,
1.656239,0x00,,
1.656334,0x00,,
1.656429,0x57,,
1.656524,0xFF,,
1.662752,0x04,,
1.662847,0xA1,,
1.662943,0x5A,,
1.663038,0xFF,,
1.663761,0x06,,
1.663857,0xA1,,
1.663952,0xFF,,
1.664048,0xFF,,
1.664143,0x5A,,
1.664239,0xFD,,
1.670452,0x04,,
1.670548,0xA2,,
1.670644,0x59,,
1.670739,0xFF,,
1.671453,0x06,,
1.671548,0xA2,,
1.671643,0x00,,
1.671738,0x00,,
1.671833,0x57,,
1.671927,0xFF,,
1.678153,0x04,,
1.678249,0xA1,,
1.678344,0x5A,,
1.67844,0xFF,,
1.679161,0x06,,
1.679257,0xA1,,
1.679352,0xFF,,
1.679448,0xFF,,
1.679543,0x5A,,
1.679639,0xFD,,
1.685854,0x04,,
1.68595,0xA2,,
1.686045,0x59,,
1.686141,0xFF,,
1.686865,0x06,,
1.68696,0xA2,,
1.687055,0x00,,
1.68715,0x00,,
1.687245,0x57,,
1.687339,0xFF,,
1.693555,0x04,,
1.693651,0xA1,,
1.693746,0x5A,,
1.693842,0xFF,,
1.694566,0x06,,
1.694662,0xA1,,
1.694758,0xFF,,
1.694853,0xFF,,
1.694949,0x5A,,
1.695044,0xFD,,
1.701256,0x04,,
1.701351,0xA2,,
1.701447,0x59,,
1.701543,0xFF,,
1.702255,0x06,,
1.70235,0xA2,,
1.702445,0x00,,
1.70254,0x00,,
1.702634,0x57,,
1.702729,0xFF,,
1.708957,0x04,,
